zone_id,impact_mean,impact_max,impact_std,impact_count,priority,rank
Z-10-07,37.90378421900161,65.52008819580078,10.456372043200133,68310,LOW,28
Z-14-07,37.75,69.0892333984375,15.319544253599505,68310,LOW,29
Z-14-16,37.738022051116666,59.90884780883789,12.353983520204334,12403,LOW,30
Z-00-05,37.48435441370224,38.466270446777344,4.053424634718625,68310,LOW,31
Z-01-04,37.01333843686206,68.0,4.972714061723893,68580,LOW,32
Z-18-07,36.078684546615584,47.890071868896484,16.596895150396325,39150,LOW,33
Z-13-07,35.54450666081101,61.7309684753418,16.445949039065137,68310,LOW,34
Z-11-06,35.042929292929294,67.9045639038086,14.543014372508996,68310,LOW,35
Z-06-18,34.996625317617166,54.374671936035156,10.300810846114661,3542,LOW,36
Z-15-02,34.84043088363954,59.607826232910156,14.265776954848695,68580,LOW,37
Z-18-06,34.10818620196969,66.89456939697266,17.860180923596065,39194,LOW,38
Z-12-08,34.013163458734326,42.786415100097656,15.52962674780112,68580,LOW,39
Z-03-09,33.253532111736654,68.23286437988281,11.896852107495238,55774,LOW,40
Z-02-09,33.130791235764434,69.60565948486328,10.463834198942061,55407,LOW,41
Z-01-08,32.52358923884515,68.94044494628906,9.372256775431664,68580,LOW,42
Z-10-06,32.009892402283704,81.48503112792969,18.492586578744675,68310,LOW,43
Z-15-08,31.132728200641587,94.21599578857422,20.044124523448765,68580,LOW,44
Z-00-07,30.982681891377542,66.61458587646484,12.767466920859432,68310,LOW,45
Z-17-13,30.8904500574776,83.9924087524414,21.281128087915455,63503,LOW,46
Z-09-19,29.050192339548325,67.0693359375,13.760301927736922,54331,LOW,47
Z-04-14,27.728674540682416,71.02159881591797,12.717452702416848,68580,LOW,48
Z-04-15,27.42979351465664,68.46570587158203,14.06025345736662,68092,LOW,49
Z-16-03,26.025461254612548,67.318603515625,19.248497449143734,42005,LOW,50
Z-00-06,25.960481627872934,67.59534454345703,11.144674267054828,68310,LOW,51
Z-12-07,25.757378244386118,57.2554817199707,19.70566453038994,68580,LOW,52
Z-16-01,25.677108134920633,47.409759521484375,17.942114662014887,15120,LOW,53
Z-01-05,24.220574511519395,65.59112548828125,11.704579292359409,68580,VERY LOW,54
Z-05-17,24.19842461431338,69.69029998779297,14.384641529841312,45957,VERY LOW,55
Z-08-14,23.587803762260283,76.89921569824219,21.478027303706877,68310,VERY LOW,56
Z-03-04,23.50652905870297,56.636863708496094,13.803698423189626,68310,VERY LOW,57
Z-05-04,22.33639267743644,53.74298858642578,16.2320192568186,30208,VERY LOW,58
Z-01-07,21.70346310877807,71.5420913696289,11.609004885837544,68580,VERY LOW,59
Z-15-03,21.61611621463984,67.32921600341797,19.242140408198416,68580,VERY LOW,60
Z-02-04,21.341505636070853,64.56460571289062,12.644208932245698,68310,VERY LOW,61
Z-08-18,21.08862172449129,70.54134368896484,11.06534818540962,68310,VERY LOW,62
Z-15-01,20.856379282563598,59.072113037109375,20.361909195334807,49649,VERY LOW,63
Z-05-13,20.766773876776416,70.5033950805664,8.040344888780327,45316,VERY LOW,64
Z-03-08,20.508208900600206,71.56803894042969,10.806128471600827,68310,VERY LOW,65
Z-13-16,20.19995608256478,66.6976089477539,11.03089497987175,68310,VERY LOW,66
Z-02-07,20.149882886839407,70.90583801269531,10.72790362327147,68310,VERY LOW,67
Z-06-12,20.00340360122969,67.8821792602539,10.335963222824105,68310,VERY LOW,68
Z-04-13,19.962731306646525,68.38470458984375,19.13042042834458,8606,VERY LOW,69
Z-02-08,19.64000329380764,75.08187103271484,8.034937744151087,68310,VERY LOW,70
Z-04-04,19.604265091863518,59.902835845947266,11.190519689903722,68580,VERY LOW,71
Z-05-15,19.555165680560247,67.27226257324219,6.604954347449639,68113,VERY LOW,72
Z-05-12,19.393480389910884,71.83393096923828,15.829893906211867,43651,VERY LOW,73
Z-03-06,19.11774630361587,71.0205307006836,8.109241984879088,68310,VERY LOW,74
Z-04-06,18.94834864391951,70.4464111328125,11.606866344925912,68580,VERY LOW,75
Z-09-04,18.622566257826573,51.025177001953125,19.804076134499756,23318,VERY LOW,76
Z-05-14,18.524890206411946,68.96483612060547,9.944647479440716,68310,VERY LOW,77
Z-09-06,18.336393627879847,88.0851058959961,25.15256320349848,68580,VERY LOW,78
Z-08-06,18.312073634899722,71.62053680419922,25.117296203441597,68310,VERY LOW,79
Z-11-17,17.983084467867076,85.09429931640625,16.539983804613207,68310,VERY LOW,80
Z-12-17,17.808078156897054,79.43424987792969,12.357977440430238,68580,VERY LOW,81
Z-09-14,17.798618401866435,74.42376708984375,19.325419581190264,68580,VERY LOW,82
Z-09-15,17.72775226013415,62.75629425048828,15.31328937394877,68580,VERY LOW,83
Z-04-07,17.593341717701954,69.96220397949219,9.998206030530449,68580,VERY LOW,84
Z-15-09,17.47764912688497,81.62398529052734,21.727855432771438,68834,VERY LOW,85
Z-09-17,17.44643846602508,74.561279296875,22.685840187425505,68580,VERY LOW,86
Z-03-07,17.392856097203925,70.44681549072266,9.448688348228142,68310,VERY LOW,87
Z-02-06,17.37030083443127,67.93841552734375,8.281031345689952,68310,VERY LOW,88
Z-07-17,17.362780694079905,62.83253860473633,11.694946741187788,68580,VERY LOW,89
Z-05-09,17.325160583714005,75.61649322509766,15.152067300144612,64141,VERY LOW,90
Z-12-18,17.266605392156862,59.1787109375,16.573069373287094,4590,VERY LOW,91
Z-04-09,17.235041587317088,72.39849853515625,16.249340816130665,61437,VERY LOW,92
Z-13-09,17.186882866852383,64.45809936523438,20.618232155337818,68563,VERY LOW,93
Z-12-15,17.07892242636337,72.15446472167969,16.101349586376053,68580,VERY LOW,94
Z-05-05,16.757953253210847,67.38198852539062,11.571304495710233,44848,VERY LOW,95
Z-08-17,16.751295564339042,65.15763092041016,12.48044036700883,68310,VERY LOW,96
Z-04-05,16.692732939632545,73.12310028076172,10.15954519388949,68580,VERY LOW,97
Z-05-07,16.67420582637974,71.47050476074219,13.803477593756595,68310,VERY LOW,98
Z-13-17,16.666959449568147,70.46763610839844,9.742985643795027,68310,VERY LOW,99
