ward_number,ward_name,distance_to_water_meters,distance_to_water_body_meters,water_tier,water_cost_multiplier
176,GOVIND PURI,73.8,592.0,W1,1.0
177,HARKESH NAGAR,0.0,776.5,W1,1.0
178,TUGHLAKABAD,0.0,617.5,W1,1.0
179,PUL PEHLADPUR,0.0,444.1,W1,1.0
180,BADARPUR,0.0,806.1,W1,1.0
181,MOLARBAND,0.0,359.2,W1,1.0
182,MEETHAPUR,0.0,170.9,W1,1.0
183,HARI NAGAR EXTENSION,0.0,510.5,W1,1.0
184,JAITPUR,0.0,551.8,W1,1.0
185,MADANPUR KHADAR EAST,0.0,784.2,W1,1.0
186,MADANPUR KHADAR WEST,0.0,1114.3,W1,1.0
187,SARITA VIHAR,0.0,0.4,W1,1.0
188,ABUL FAZAL ENCLAVE,0.0,173.7,W1,1.0
189,ZAKIR NAGAR,0.0,223.4,W1,1.0
190,NEW ASHOK NAGAR,0.0,108.6,W1,1.0
191,MAYUR VIHAR PHASE-I,0.0,582.8,W1,1.0
192,TRILOKPURI,0.0,353.6,W1,1.0
193,KONDLI,0.0,693.0,W1,1.0
194,GHAROLI,0.0,150.8,W1,1.0
195,KALYANPURI,0.0,214.4,W1,1.0
196,MAYUR VIHAR PHASE-II,0.0,302.6,W1,1.0
197,PATPAR GANJ,0.0,846.3,W1,1.0
198,VINOD NAGAR,0.0,638.4,W1,1.0
199,MANDAWALI,314.4,702.7,W2,1.35
200,PANDAV NAGAR,0.0,332.6,W1,1.0
201,LALITA PARK,0.0,498.1,W1,1.0
202,SHAKARPUR,0.0,1217.0,W1,1.0
203,LAXMI NAGAR,0.0,1012.7,W1,1.0
204,PREET VIHAR,0.0,1168.3,W1,1.0
205,I.P. EXTENSION,0.0,270.0,W1,1.0
206,ANAND VIHAR,0.0,930.8,W1,1.0
207,VISHWAS NAGAR,0.0,1251.5,W1,1.0
208,ANARKALI,51.5,1156.0,W1,1.0
209,JAGAT PURI,0.0,1472.5,W1,1.0
210,GEETA COLONY,0.0,774.6,W1,1.0
211,KRISHNA NAGAR,0.0,1116.4,W1,1.0
212,GANDHI NAGAR,0.0,444.2,W1,1.0
213,SHASTRI PARK,0.0,772.3,W1,1.0
214,AZAD NAGAR,16.1,654.1,W1,1.0
215,SHAHDARA,0.0,740.0,W1,1.0
216,JHILMIL,0.0,548.0,W1,1.0
217,DILSHAD COLONY,0.0,305.6,W1,1.0
218,SUNDAR NAGRI,28.2,610.7,W1,1.0
219,DILSHAD GARDEN,0.0,507.7,W1,1.0
220,NAND NAGRI,0.0,1001.0,W1,1.0
221,ASHOK NAGAR,19.4,1313.3,W1,1.0
222,RAM NAGAR EAST,26.0,615.8,W1,1.0
223,ROHTASH NAGAR,0.0,800.8,W1,1.0
224,WELCOME COLONY,0.0,340.3,W1,1.0
225,SEELAMPUR,0.0,447.1,W1,1.0
226,GAUTAM PURI,0.0,548.8,W1,1.0
227,CHAUHAN BANGER,0.0,311.2,W1,1.0
228,MAUJPUR,0.0,245.4,W1,1.0
229,BRAHAM PURI,0.0,505.1,W1,1.0
230,BHAJANPURA,0.0,361.1,W1,1.0
231,GHONDA,79.5,308.7,W1,1.0
232,YAMUNA VIHAR,0.0,210.3,W1,1.0
233,SUBHASH MOHALLA,0.0,280.8,W1,1.0
234,KABIR NAGAR,0.0,141.4,W1,1.0
235,GORAKH PARK,0.0,620.5,W1,1.0
236,KARDAM PURI,0.0,620.6,W1,1.0
237,HARSH VIHAR,0.0,0.0,W1,1.0
238,SABOLI,155.1,799.5,W1,1.0
239,GOKAL PURI,0.0,185.4,W1,1.0
240,JOHARIPUR,0.0,1014.0,W1,1.0
241,KARAWAL NAGAR-EAST,0.0,2116.6,W1,1.0
242,DAYALPUR,0.0,1429.2,W1,1.0
243,MUSTAFABAD,12.3,1099.6,W1,1.0
244,NEHRU VIHAR,39.9,1422.6,W1,1.0
245,BRIJ PURI,0.0,981.9,W1,1.0
246,SRI RAM COLONY,0.0,622.6,W1,1.0
247,SADATPUR,0.0,776.0,W1,1.0
248,KARAWAL NAGAR-WEST,0.0,707.8,W1,1.0
249,SONIA VIHAR,0.0,708.8,W1,1.0
250,SABAPUR,0.0,629.3,W1,1.0
