ward_number_2017,zone,raw_coverage,flag_low_coverage
008S,S,0.9999999999999991,False
024S,S,0.9999999999999992,False
033E,E,1.0000000000000002,False
085S,S,1.0000000000000004,False
073S,S,1.0000000000000007,False
090S,S,1.000000000000002,False
005S,S,1.0000000000000022,False
097S,S,1.000000000000003,False
015E,E,1.0000000000000036,False
092S,S,1.0000000000000044,False
006N,N,1.0000000000000044,False
078S,S,1.0000000000000049,False
027S,S,1.000000000000007,False
100S,S,1.0000000000000073,False
055S,S,1.0000000000000078,False
018N,N,1.0000000000000084,False
043N,N,1.0000000000000087,False
080S,S,1.0000000000000095,False
051N,N,1.0000000000000098,False
027N,N,1.0000000000000104,False
067N,N,1.0000000000000107,False
079S,S,1.0000000000000109,False
002E,E,1.0000000000000118,False
103S,S,1.000000000000012,False
057E,E,1.000000000000016,False
070N,N,1.0000000000000167,False
074N,N,1.0000000000000169,False
069S,S,1.0000000000000169,False
084N,N,1.0000000000000173,False
075N,N,1.0000000000000207,False
057S,S,1.0000000000000215,False
032S,S,1.0000000000000218,False
086S,S,1.0000000000000218,False
022E,E,1.000000000000022,False
059E,E,1.000000000000022,False
008E,E,1.000000000000023,False
063S,S,1.000000000000024,False
091S,S,1.0000000000000244,False
014E,E,1.0000000000000246,False
059S,S,1.0000000000000264,False
073N,N,1.0000000000000266,False
063E,E,1.0000000000000293,False
003E,E,1.0000000000000302,False
052N,N,1.0000000000000313,False
007E,E,1.0000000000000349,False
001E,E,1.0000000000000377,False
017E,E,1.000000000000039,False
053S,S,1.000000000000042,False
058E,E,1.0000000000000433,False
077N,N,1.0000000000000462,False
010E,E,1.0000000000000473,False
009N,N,1.0000000000000488,False
094N,N,1.0000000000000497,False
062N,N,1.0000000000000506,False
050E,E,1.0000000000000515,False
035E,E,1.0000000000000562,False
032E,E,1.0000000000000573,False
033S,S,1.000000000000058,False
037E,E,1.0000000000000593,False
028E,E,1.0000000000000626,False
004S,S,1.0000000000000646,False
076S,S,1.0000000000000746,False
072N,N,1.0000000000000795,False
060N,N,1.0000000000000797,False
088S,S,1.000000000000084,False
004E,E,1.000000000000086,False
076N,N,1.0000000000001394,False
046S,S,1.0000000000001674,False
041N,N,1.0000000010142605,False
010N,N,1.0000000011905186,False
021E,E,1.0000000078709557,False
013N,N,1.000000013987425,False
050N,N,1.0000000141916512,False
031N,N,1.000000016688278,False
099N,N,1.0000000288503559,False
047N,N,1.000000029976267,False
095N,N,1.000000051103113,False
023E,E,1.0000000525616337,False
025N,N,1.0000000647008653,False
048N,N,1.0000001043343678,False
061N,N,1.000000105879973,False
028N,N,1.0000001097792082,False
044N,N,1.0000001912121537,False
049N,N,1.0000002054215107,False
054N,N,1.0000002272961963,False
027E,E,1.000000244787833,False
009S,S,1.0000002664035643,False
026N,N,1.0000003143262268,False
015S,S,1.0000003253884504,False
037N,N,1.0000003267274877,False
036S,S,1.000000365389765,False
038S,S,1.0000004127814095,False
