ward_number_2017,ward_number_2022,raw_weight,weight
018S,103,0.010749717246762257,0.01074914820429219
018S,104,0.04798133212185202,0.047978792202417776
018S,105,0.13108653546040838,0.1310795963191995
018S,106,0.6687293311414504,0.6686939315693814
018S,107,0.06369848605854762,0.06369511414252284
018S,108,0.06635528005317032,0.06635176749822616
018S,114,0.011452256295739073,0.011451650063960064
019E,204,0.08654595985320009,0.10006177070942182
019E,205,0.2450963343955968,0.2833728259021113
019E,206,0.5332830337721165,0.6165654033884669
019N,4,0.02379926763046009,0.023800766601443264
019N,7,0.15055564788436948,0.150565130468079
019N,19,0.636735437288599,0.6367755413774843
019N,20,0.18884666725108154,0.1888585615529934
019S,35,0.021128930554663142,0.021128930614164942
019S,36,0.008168702106882104,0.008168702129886225
019S,47,0.0034988988259521017,0.003498898835805453
019S,110,0.9320461158339152,0.9320461184586775
019S,111,0.03190672697919449,0.03190672706904796
019S,128,0.0032506228832637415,0.0032506228924179155
020E,204,0.5955213744941834,0.5955213744941851
020E,206,0.19592412183680624,0.1959241218368068
020E,208,0.14049550097898536,0.14049550097898578
020E,209,0.06805900269002223,0.06805900269002242
020N,8,0.06657662355234835,0.06657580988546125
020N,18,0.526376792453646,0.5263703593342821
020N,19,0.4070588056536219,0.4070538307802566
020S,36,0.028068846328854452,0.028067407623133107
020S,101,0.009080737351608756,0.009080271906444793
020S,103,0.2453675644130742,0.24535498777509565
020S,107,0.7118574406731263,0.7118209534815731
020S,108,0.0056766701789668465,0.005676379213753351
021E,207,0.12933794842974952,0.12933794741173626
021E,211,0.23461163982267297,0.23461163797605517
021E,212,0.2521629835476723,0.2521629815629087
021E,214,0.25355483243894233,0.2535548304432235
021E,215,0.1303326036319185,0.13033260260607638
021N,8,0.4470333036150821,0.44767558264148793
021N,17,0.5357609977881752,0.5365307571087065
021N,18,0.015771001125381646,0.015793660249805577
021S,36,0.1388403534780611,0.13885756029825494
021S,107,0.18619560937103724,0.18621868504241862
021S,108,0.5218463188443406,0.5219109925184724
