ward_number,ward_name,worldcover_canopy_fraction,worldcover_built_fraction,cropland_fraction,worldcover_bare_or_other_fraction
48,GURU HARKISHAN NAGAR,0.1514658975886638,0.7888603609624667,0.028287070555188074,0.03138667089368044
49,MANGOLPURI-A,0.11244661872688484,0.776608384778043,0.03777571152402795,0.0731692849710445
50,MANGOLPURI-B,0.08430648854744636,0.8933222092368834,0.00812982134878133,0.014241480866888282
51,ROHINI-C,0.10658047491299652,0.8416758980956566,0.029417911608209103,0.022325715383138107
52,ROHINI-F,0.1277897592335662,0.8637627061607391,0.0005249880263426079,0.007922546579352083
53,ROHINI-E,0.22792949867544762,0.7571219634325085,0.0047291277017497335,0.010219410190293059
54,ROHINI-D,0.28306809627262686,0.5809771706788927,0.08193370602507458,0.05402102702340441
55,SHALIMAR BAGH-A,0.30883662151392755,0.5691200465520642,0.04559459135224377,0.07644874058176497
56,SHALIMAR BAGH-B,0.2663868113480541,0.7132690218497728,0.009976864152559143,0.010367302649613412
57,PITAM PURA,0.2580569954582341,0.7008360616049165,0.01218185539457138,0.028925087542277916
58,SARASWATI VIHAR,0.20132171707314472,0.752597467046762,0.02247016087675973,0.023610655003333928
59,PASCHIM VIHAR,0.20015725086619354,0.7504216326030807,0.02437202520971327,0.025049091321011387
60,RANI BAGH,0.3722610724430211,0.572205964885715,0.0368826451003059,0.018650317570958787
61,KOHAT ENCLAVE,0.17540561108753225,0.8125707971725031,0.005821832604018786,0.006201759135945201
62,SHAKUR PUR,0.12796242469737668,0.8424794518820578,0.014332348264931963,0.015225775155633585
63,TRI NAGAR,0.07486464072533457,0.9143074338254881,0.0036784408527668288,0.0071494845964098445
64,KESHAV PURAM,0.21445796868826103,0.7569366628346221,0.010332270159733111,0.018273098317383843
65,ASHOK VIHAR,0.13334001301727075,0.8395614287194909,0.01649875171716217,0.010599806546076737
66,WAZIR PUR,0.38592679834599264,0.5754405616141065,0.01584452296225045,0.022788117077650872
67,SANGAM PARK,0.10681311810483816,0.8730215090962185,0.008261498812984798,0.011903873985958938
68,MODEL TOWN,0.19172222304956973,0.7596619568532778,0.008523333680819275,0.040092486416333395
69,KAMLA NAGAR,0.28009574167388573,0.6956854225383623,0.010867719606479512,0.013351116181273218
70,SHASTRI NAGAR,0.27795286789713874,0.7069578380233276,0.0049893158654600485,0.010099978214073253
71,KISHAN GANJ,0.10166586577821905,0.8818619200648332,0.002758591031100022,0.013713623125847561
72,SADAR BAZAR,0.06560527583567487,0.9281737792874414,0.0,0.006220944876883307
73,CIVIL LINES,0.4058811456153991,0.5029501899479618,0.012211691131945604,0.07895697330469437
74,CHANDNI CHOWK,0.2589202507591639,0.5630262587315613,0.0911655665055891,0.08688792400368532
75,JAMA MASJID,0.05977159620926101,0.9002124043360583,0.015414265623100942,0.024601733831580007
76,CHANDANI MAHAL,0.06366988250300182,0.9149905984650711,0.006953839287638795,0.014385679744288405
77,DELHI GATE,0.23788756278720835,0.7378900831374109,0.0017822941008032763,0.02244005997457861
78,BAZAR SITA RAM,0.00022865840042730545,0.9950418641376094,0.0,0.0047294774619632135
79,BALLIMARAN,0.04380006156187151,0.9499420304980842,0.0035677902842660976,0.00269011765577838
80,RAM NAGAR,0.035672045884513816,0.9320410375581019,0.0006167533426821858,0.031670163214702264
81,QURAISH NAGAR,0.024308853324177038,0.9738966355278555,0.0,0.0017945111479673681
82,PAHAR GANJ,0.12736270804709593,0.8682824579247529,0.00160451936576729,0.002750314662384159
83,KAROL BAGH,0.14806187467234566,0.8294849180824817,0.00875099359299029,0.013702213652182165
84,DEV NAGAR,0.14754761996695617,0.8413934517845932,0.0031820481920365484,0.007876880056414397
85,WEST PATEL NAGAR,0.2742939773495477,0.6683288645150502,0.014933195597517714,0.042443962537883684
86,EAST PATEL NAGAR,0.14744845360262873,0.8438220297396098,0.00221557020684832,0.006513946450912899
87,RANJEET NAGAR,0.027846265468241944,0.9709157102377505,0.0,0.0012380242940073657
88,BALJEET NAGAR,0.08144671039586444,0.9098521225068531,0.0013974677187447988,0.007303699378537878
89,KARAM PURA,0.15739805984200392,0.7531244730056073,0.02666502940253502,0.06281243774985332
90,MOTI NAGAR,0.04180082797693049,0.9370390430604283,0.0014707277979088937,0.01968940116473254
91,RAMESH NAGAR,0.06459129285264334,0.9277728511113716,0.00446206305458013,0.003173792981404276
92,PUNJABI BAGH,0.14239018660787256,0.8040337584201823,0.012915235527443078,0.04066081944450217
93,MADIPUR,0.11896976258240492,0.827188396490837,0.016065168516223714,0.03777667241053442
94,RAGHUBIR NAGAR,0.06463524503592606,0.9002922021459363,0.0021902569856103097,0.032882295832527234
95,VISHNU GARDEN,0.06165241100812406,0.8895147663033472,0.011197373112904346,0.037635449575623446
96,RAJOURI GARDEN,0.10850775144128438,0.8856711922564028,0.003208376729133324,0.002612679573179497
